# What each character's achievements said, and when. Not shipped.
# Safe to delete, at the cost of one cold pass -- which is not cheap here.
giantzemi-shekzeer	2026-09-11 14:27:23	2635	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
halul-shekzeer	2026-09-11 14:27:32	2422	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
hdpr-shekzeer	2026-09-11 14:27:33	2372	399,400,401,402,403,1159,1174,2090,2092,2093
holypal-shekzeer	2026-09-11 14:27:25	2514	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
illex-shekzeer	2026-09-11 14:27:25	2500	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
ilyackerman-auberdine	2026-09-11 14:27:24	2590	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093
jáakux-shekzeer	2026-09-11 14:27:26	2513	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
jâckywhâcky-shekzeer	2026-09-11 14:27:24	2532	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266,5267
jâgerr-shekzeer	2026-09-11 14:27:31	2420	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266,5267
jámié-shekzeer	2026-09-11 14:27:24	2630	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
jámíé-shekzeer	2026-09-11 14:27:26	2462	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
juicedog-shekzeer	2026-09-11 14:27:23	2572	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266,5267
juicyverÿ-shekzeer	2026-09-11 14:27:32	2399	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
kasuxoxomayw-garalon	2026-09-11 14:27:25	2560	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
kásúxøxø-shekzeer	2026-09-11 14:27:24	2608	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
királyfickó-shekzeer	2026-09-11 14:27:32	2386	399,400,401,402,403,405,1159,1160,1174,2090,2091,2092,2093,5266
klqqe-shekzeer	2026-09-11 14:27:23	2591	399,400,401,402,403,405,1159,1174,2090,2091,2092,2093
kûroko-shekzeer	2026-09-11 14:27:31	2426	399,400,401,402,403,405,406,1159,1160,1174,2090,2091,2092,2093,5266
kwende-shekzeer	2026-09-11 14:27:32	2368	
kyxen-garalon	2026-09-11 14:27:33	2362	399,400,401,402,403,1159,1174,2090,2092,2093
laynerz-shekzeer	2026-09-11 14:27:23	2614	
lilsondre-shekzeer	2026-09-11 14:27:23	2637	399,400,401,402,403,405,1159,1160,1174
lkdsjciks-shekzeer	2026-09-11 14:27:32	2380	399,400,401,402,403,404,405,406,407,1159,1160,1161,1174,2090,2091,2092,2093,5266,5267
luxzys-shekzeer	2026-09-11 14:27:31	2459	399,400,401,402,403,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266,5267
lz-shekzeer	2026-09-11 14:27:23	2632	
maaxxdrood-shekzeer	2026-09-11 14:27:31	2439	399,400,401,402,403,1159,1174,2090,2091,2092,2093
määxxdrood-shekzeer	2026-09-11 14:27:26	2462	399,400,401,402,403,1159,1174,2090,2091,2092,2093
maedic-shekzeer	2026-09-11 14:27:26	2479	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
maedictv-shekzeer	2026-09-11 14:27:32	2406	399,400,401,402,403,404,405,406,407,1159,1160,1174,2090,2091,2092,2093,5266
